"Country" "Master.ID"
"1" "Vietnam" "I0626"
"2" "Vietnam" "I0627"
"3" "Vietnam" "I1137"
"4" "Vietnam" "I1859"
"5" "Vietnam" "I2497"
"6" "Vietnam" "I2731"
"7" "Vanuatu" "I4451"
"8" "Vietnam" "I0626"
"9" "Vietnam" "I0627"
"10" "Russia" "I0944"
"11" "Vietnam" "I1135"
"12" "Vietnam" "I1137"
"13" "Turkmenistan" "I1781"
"14" "Turkmenistan" "I1782"
"15" "Turkmenistan" "I1787"
"16" "Turkmenistan" "I1788"
"17" "Turkmenistan" "I1789"
"18" "Turkmenistan" "I1790"
"19" "Turkmenistan" "I1792"
"20" "Turkmenistan" "I1793"
"21" "Vietnam" "I1859"
"22" "Turkmenistan" "I2085"
"23" "Turkmenistan" "I2087"
"24" "Turkmenistan" "I2116"
"25" "Turkmenistan" "I2121"
"26" "Turkmenistan" "I2122"
"27" "Turkmenistan" "I2123"
"28" "Turkmenistan" "I2125"
"29" "Turkmenistan" "I2128"
"30" "Vietnam" "I2497"
"31" "Vietnam" "I2731"
"32" "Iran" "I2922"
"33" "Iran" "I2927"
"34" "Iran" "I2928"
"35" "Pakistan" "I2960"
"36" "Turkmenistan" "I3374"
"37" "Kazakhstan" "I3448"
"38" "Kazakhstan" "I3456"
"39" "Spain" "I3807"
"40" "Spain" "I3981"
"41" "Spain" "I4055"
"42" "Spain" "I4246"
"43" "Vanuatu" "I4451"
"44" "Israel" "I7179"
"45" "Israel" "I7180"
"46" "Israel" "I7182"
"47" "Israel" "I7184"
"48" "Czech Republic" "I7186"
"49" "Czech Republic" "I7187"
"50" "Czech Republic" "I7188"
"51" "Czech Republic" "I7189"
"52" "Czech Republic" "I7191"
"53" "Czech Republic" "I7192"
"54" "Czech Republic" "I7193"
"55" "Czech Republic" "I7194"
"56" "Czech Republic" "I7207"
"57" "Czech Republic" "I7208"
"58" "Czech Republic" "I7209"
"59" "United Kingdom" "I7579"
"60" "United Kingdom" "I7580"
"61" "Czech Republic" "I7271"
"62" "Czech Republic" "I7278"
"63" "Hungary" "I7041"
"64" "Hungary" "I7043"
"65" "Czech Republic" "I7282"
"66" "Czech Republic" "I7283"
"67" "Czech Republic" "I7289"
"68" "Czech Republic" "I7210"
"69" "Czech Republic" "I7212"
"70" "Czech Republic" "I7214"
"71" "Russia" "I6712"
"72" "Russia" "I6711"
"73" "Russia" "I6714"
"74" "Russia" "I6718"
"75" "Uzbekistan" "I4157"
"76" "Kazakhstan" "I6707"
"77" "Kazakhstan" "I6708"
"78" "Kazakhstan" "I6709"
"79" "Kazakhstan" "I6788"
"80" "Kazakhstan" "I6789"
"81" "Kazakhstan" "I6790"
"82" "Kazakhstan" "I6791"
"83" "Kazakhstan" "I6792"
"84" "Kazakhstan" "I6793"
"85" "Kazakhstan" "I6794"
"86" "Kazakhstan" "I6795"
"87" "Kazakhstan" "I6796"
"88" "Kazakhstan" "I6797"
"89" "Kazakhstan" "I6799"
"90" "Kazakhstan" "I6800"
"91" "Turkmenistan" "I7101"
"92" "Turkmenistan" "I7102"
"93" "Turkmenistan" "I7170"
"94" "Turkmenistan" "I7171"
"95" "Uzbekistan" "I7411"
"96" "Turkmenistan" "I7173"
"97" "Uzbekistan" "I7412"
"98" "Uzbekistan" "I7414"
"99" "Uzbekistan" "I7416"
"100" "Uzbekistan" "I7419"
"101" "Uzbekistan" "I7420"
"102" "Uzbekistan" "I7421"
"103" "Uzbekistan" "I7492"
"104" "Uzbekistan" "I7493"
"105" "Uzbekistan" "I7494"
"106" "Uzbekistan" "I7495"
"107" "Uzbekistan" "I7542"
"108" "United Kingdom" "I3023"
"109" "Uzbekistan" "I4158"
"110" "Czech Republic" "I6695"
"111" "Czech Republic" "I6696"
"112" "Russia" "I6713"
"113" "Russia" "I6715"
"114" "Russia" "I6716"
"115" "Russia" "I6717"
"116" "Hungary" "I7040"
"117" "Hungary" "I7042"
"118" "Hungary" "I7044"
"119" "Hungary" "I7045"
"120" "Czech Republic" "I7195"
"121" "Czech Republic" "I7196"
"122" "Czech Republic" "I7197"
"123" "Czech Republic" "I7198"
"124" "Czech Republic" "I7199"
"125" "Czech Republic" "I7200"
"126" "Czech Republic" "I7201"
"127" "Czech Republic" "I7202"
"128" "Czech Republic" "I7203"
"129" "Czech Republic" "I7205"
"130" "Czech Republic" "I7211"
"131" "Czech Republic" "I7213"
"132" "Czech Republic" "I7249"
"133" "Czech Republic" "I7251"
"134" "Czech Republic" "I7250"
"135" "Czech Republic" "I7269"
"136" "Czech Republic" "I7272"
"137" "Czech Republic" "I7270"
"138" "Czech Republic" "I7275"
"139" "Czech Republic" "I7276"
"140" "Czech Republic" "I7279"
"141" "Czech Republic" "I7280"
"142" "Czech Republic" "I7281"
"143" "Czech Republic" "I7286"
"144" "Czech Republic" "I7287"
"145" "Czech Republic" "I7288"
"146" "Czech Republic" "I7290"
"147" "United Kingdom" "I7554"
"148" "United Kingdom" "I7568"
"149" "United Kingdom" "I7569"
"150" "United Kingdom" "I7570"
"151" "United Kingdom" "I7571"
"152" "United Kingdom" "I7572"
"153" "United Kingdom" "I7573"
"154" "United Kingdom" "I7574"
"155" "United Kingdom" "I7575"
"156" "United Kingdom" "I7576"
"157" "United Kingdom" "I7577"
"158" "United Kingdom" "I7578"
"159" "United Kingdom" "I7626"
"160" "United Kingdom" "I7627"
"161" "United Kingdom" "I7628"
"162" "United Kingdom" "I7630"
"163" "United Kingdom" "I7635"
"164" "United Kingdom" "I7638"
"165" "United Kingdom" "I7639"
"166" "United Kingdom" "I7640"
"167" "Turkmenistan" "I1783"
"168" "USA" "I0719"
"169" "Estonia" "Sope"
"170" "Estonia" "Ardu1"
"171" "Portugal" "CabecoArruda117B"
"172" "Portugal" "I11600"
"173" "Portugal" "CovaMoura364"
"174" "Portugal" "CovaMoura9B"
"175" "Portugal" "DolmenAnsiao96B"
"176" "Portugal" "LugarCanto41"
"177" "Portugal" "LugarCanto42"
"178" "Portugal" "LugarCanto44"
"179" "Portugal" "LugarCanto45"
"180" "Portugal" "MonteCanelas337A"
"181" "Portugal" "MonteGato104"
"182" "Portugal" "TV32032extra"
"183" "Portugal" "TV3831"
"184" "Portugal" "ValeOuro10207"
"185" "Japan" "Sanganji131421-3"
"186" "Japan" "Sanganji131421-3"
"187" "Japan" "Sanganji131464"
"188" "Russia" "RISE507.508.merge"
